estado,estadoIBGE,dataColetaTeste1,FaixaIdade,sexo,codigoEstadoTeste1,Óbito,Cura,casosConfirmados,casosDescartados,casosInconclusivos,Populacao
Acre,AC,2020-12-31,sem referencia,Feminino,3.0,0,0,1,0,0,1
Acre,AC,2020-12-31,sem referencia,Masculino,3.0,0,0,1,0,0,1
Acre,AC,2021-01-08,19-30,Feminino,3.0,0,1,1,0,0,1
Acre,AC,2021-01-25,19-30,Feminino,3.0,0,0,0,1,0,1
Acre,AC,2021-02-01,31-45,Feminino,3.0,0,0,0,1,0,1
Acre,AC,2021-02-01,31-45,Masculino,3.0,0,0,0,1,0,1
Acre,AC,2021-02-08,31-45,Feminino,3.0,0,0,0,1,0,1
Acre,AC,2021-03-08,sem referencia,Masculino,3.0,0,1,1,0,0,1
Acre,AC,2021-05-31,sem referencia,Feminino,3.0,0,0,0,1,0,1
Acre,AC,2021-08-24,31-45,Masculino,2.0,0,0,0,0,0,1
Alagoas,AL,1970-01-01,0-18,Feminino,1.0,0,117,0,0,0,129
Alagoas,AL,1970-01-01,0-18,Feminino,2.0,0,3,0,0,0,3
Alagoas,AL,1970-01-01,0-18,Feminino,3.0,0,5,4,1,0,5
Alagoas,AL,1970-01-01,0-18,Masculino,1.0,0,113,0,0,0,115
Alagoas,AL,1970-01-01,0-18,Masculino,2.0,0,0,0,0,0,1
Alagoas,AL,1970-01-01,0-18,Masculino,3.0,0,4,0,5,0,5
Alagoas,AL,1970-01-01,19-30,Feminino,1.0,0,191,0,0,0,202
Alagoas,AL,1970-01-01,19-30,Feminino,2.0,0,2,0,0,0,2
Alagoas,AL,1970-01-01,19-30,Feminino,3.0,0,11,8,5,0,13
Alagoas,AL,1970-01-01,19-30,Masculino,1.0,0,154,0,0,0,160
Alagoas,AL,1970-01-01,19-30,Masculino,2.0,0,2,0,0,0,2
Alagoas,AL,1970-01-01,19-30,Masculino,3.0,0,7,0,7,0,7
Alagoas,AL,1970-01-01,31-45,Feminino,1.0,0,198,0,0,0,211
Alagoas,AL,1970-01-01,31-45,Feminino,2.0,0,2,0,0,0,2
Alagoas,AL,1970-01-01,31-45,Feminino,3.0,0,21,8,15,0,24
Alagoas,AL,1970-01-01,31-45,Masculino,1.0,0,149,0,0,0,157
Alagoas,AL,1970-01-01,31-45,Masculino,2.0,0,3,0,0,0,3
Alagoas,AL,1970-01-01,31-45,Masculino,3.0,0,8,5,3,0,9
Alagoas,AL,1970-01-01,46-60,Feminino,1.0,0,74,0,0,0,76
Alagoas,AL,1970-01-01,46-60,Feminino,2.0,0,2,0,0,0,2
Alagoas,AL,1970-01-01,46-60,Feminino,3.0,0,9,4,8,0,12
Alagoas,AL,1970-01-01,46-60,Masculino,1.0,0,49,0,0,0,56
Alagoas,AL,1970-01-01,46-60,Masculino,3.0,0,3,3,1,0,4
